index,RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
290919,302283,Yemeni-Style Chicken Salad,95312,AliciaGski,PT10M,PT20M,PT30M,2008-05-06T01:28:00Z,Make and share this Yemeni-Style Chicken Salad recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/22/83/picEvsLvF.jpg""",African,"c(""Brunch"", ""< 30 Mins"")","c(""2"", ""1/2"", ""1/2"", ""3"", ""3"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1/2"", ""1/2"", ""1"", NA)","('boneless skinless chicken breasts', 'chicken thighs', 'mayonnaise', 'nonfat yogurt', 'minced garlic cloves', 'serrano chilies', 'pine nuts', 'green onions', 'celery', 'carrot', 'ground cumin', 'fresh cilantro', 'fresh parsley', 'salt', 'fresh pepper')",5.0,2.0,454.5,20.4,3.1,153.5,1104.4,14.6,1.7,5.9,52.1,4.0,,"c(""Place chicken in sauce pan and cover with water. Bring to a boil then simmer 8 to 10 minutes till done. (You could toast and cool pine nuts at this time too.)."", ""While chicken is cooling, mix mayonnaise and yogurt in medium bowl."", ""Add garlic, chilies, pint nuts, green onions, celery, carrots, cumin, cilantro and parsley. Toss and set aside."", ""Coarsely chop cooled chicken and add to mix."", ""Season with salt and pepper."")"
290921,302285,Thai Shrimp Lemongrass Salad,130513,gobruijns,,PT10M,PT10M,2008-05-06T01:28:00Z,"The Thai chili paste is sweeter and has lemongrass in it.  You may find it in your local Asian store, or even from your local Thai restaurant.  To make regular chili paste, saut&eacute; oil with yellow onion and garlic until soft, then add chili powder and paprika for color.  I would grill the shrimp for extra flavor.  This makes a small appetizer for 2 people, or a nice sized one for one.",character(0),Thai,"c(""Asian"", ""< 15 Mins"")","c(""5"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1/2"", ""1/2"", ""2"", ""2"", ""1"", ""1"", ""1/2"", NA)","('shrimp', 'sugar', 'fish sauce', 'fresh lime juice', 'paprika', 'tomatoes', 'red onions', 'green onions', 'lemongrass', 'kaffir lime leaf', 'cucumber', 'lettuce')",,,131.3,1.0,0.3,138.0,1553.0,14.5,1.3,9.9,16.9,2.0,,"c(""In a big bowl, combine all ingredients except the shrimp."", ""With your hands, squish the tomato to release some juice."", ""Grill shrimp until cooked."", ""Mix shrimp in the bowl with the rest of the ingredients."", ""Serve on lettuce leaves."")"
291968,303373,Salted Eggs,437776,Allotta,PT504H,PT5M,PT504H5M,2008-05-13T18:46:00Z,"taken from angie's recipes, http://schneiderchen.de/

we used to purchase salted duck eggs before they became a banned imported item. so now my grandma does it with regular eggs. she soaks them in salt water for months. but this recipe takes a few weeks.",character(0),Chinese,"c(""Asian"", ""Easy"")","c(""50"", ""45"", ""10"")","('sea salt', 'rice wine', 'eggs')",,,79.4,5.0,1.6,211.5,2008.0,0.6,0.0,0.4,6.3,,10 eggs,"c(""Bath the raw eggs in a small bowl filled with rice wine."", ""Coat each egg with a layer of sea salt and place them in a Ziploc bag and let stand in a cool place (not refrigerator) for about 3 weeks."", ""Yolks should be a bright orange color and quite firm. The white should be slightly cloudy and still runny."", ""Remove eggs from salt bath and store them in the refrigerator if not ready to use immediately."", ""At this stage, they will still be raw and ready to add to other dishes. The whites will be really salty, but the yolk will be fatty and delicious. You can boil them and just eat them as a side dish, make a batter to fry seafood in, put the yolks in mooncake/jung. put the yolks in a steamed egg custard --  the possibilities are endless.""
)"
292032,303437,Spago's Japanese Barbecue Salmon Salad,143001,lynnski  LA,PT40M,PT1H,PT1H40M,2008-05-13T22:51:00Z,"This is a great composed salad from Spago's Restaurant.  It looks spectacular however it's easier to make than it looks.   However, the sauces should be made in advance, they're simple but take time to marinate, especially the ponzu sauce which should steep overnight.  
The shiso leaves are available in Japanese stores or, substitute a lettuce leaf.",character(0),Japanese,"c(""Asian"", ""< 4 Hours"")","c(""24"", ""3"", ""1 1/3"", ""4"", ""1/2"", ""1"", ""4"", ""2"", ""1/4"", ""1 1/2"", ""2"", ""1/2"", ""3"", ""3"", ""2"", ""3"", ""1"", ""1"", ""1/4"", ""1"", ""1"", ""1 1/4"")","('salmon fillets', 'avocados', 'romaine lettuce', 'pickled ginger', 'lettuce leaves', 'sesame seeds', 'fresh ginger', 'green onions', 'soy sauce', 'lime juice', 'lemon juice', 'rice vinegar', 'sake', 'mirin', 'soy sauce', 'garlic clove', 'green onion', 'gingerroot')",,,502.1,16.8,2.6,87.5,3508.5,28.3,7.6,7.3,43.8,4.0,4 salads,"c(""Since the Ponzu Sauce needs to steep overnight, start out making it first."", ""For the ponzu sauce, mix all ingredients togrther in a bowl, steep in the frig overnight or at least several hour, strain and keep refrigerated until ready to use."", ""For the Mirin Reduction Sauce, combine all ingredients in a small saucepan and cook over medium heat until reduced to one-half cup, about 30 minutes."", ""Strain and cool."", ""Salad and Assembly."", ""Heat a grill or grill pan, place the salmon fillets on the grill and cook about 4 minutes."", 
""Turn over the fillets and brush with some of the mirin reduction sauce."", ""Cook until just firm to touch, about 4 minutes."", ""Drain the cucumber strips, pat dry, place them in a bowl and stir in 2 tablespoons ponzu sauce."", ""Spoon 2 tablespoons ponzu sauce onto each of 4 plates."", ""Place the cucumber, avocado slices, romaine, pickled ginger and sprouts clockwise around the plate so they touch in the middle of the plate."", ""Place the shiso leaf in the middle of each plate where the ingredients meet."", 
""Place a fillet on the leaf, allowing the edge of the leaf to show."", ""Drizzle the remaining ponzu sauce over the fish and salad ingredients, sprinkle with sesame seeds and serve."")"
292245,303655,Dango (Sweet Japanese Dumplings),839885,Derry Quinn,PT30M,PT45M,PT1H15M,2008-05-14T18:37:00Z,"Dango, my favorite Anime food... Sailor Moon, Clannad, they all have it. I looked around the net and aggregated all the best bits i had tried into this recipe. A lot of it is similar to http://www.recipezaar.com/120390 , but i think this is better from experience.

Dango are great for a party at your house, or bringing to peoples houses as a thoughtful gift, but i find they taste all the sweeter when you devour them yourself just after cooking :D

Try to get Mochiko, it's the best! Alternatives for Katakuriko are listed in order of preference after it in the ingredients section.

All of the ingredients are available at an Asian food store.",character(0),Japanese,"c(""Asian"", ""Sweet"", ""< 4 Hours"")","c(""1 1/3"", ""3/4"", NA, ""3/4 - 1"", ""1/2"", ""2"", ""1 1/2"", ""1 1/2"")","('warm water', 'potato starch', 'cornstarch', 'water', 'sugar', 'soy sauce', 'water')",,1.0,294.9,0.8,0.2,0.0,504.6,67.7,1.3,25.2,4.1,,6-10 Dango,"c(""Combine the Mochiko slowly and gradually with the water in the mixing bowl, trying to get a solid-but-squishy dough."", ""Knead the dough well."", ""Make small round dumplings (or Dango) with the dough, roughly 1 inch in diameter at the most."", ""Steam the dango for 10-15 mins in the steamer on medium or high heat, depending on your steamer."", ""When they are done (brownled slightly) take them off and let the cool on a wire rack."", ""Mix the sugar, water (Larger mesurement)  and soysauce in the small pan over a medium heat."", 
""Combine the Katakuriko with the small tablespoon and a half of water."", ""When the sauce starts to boil, add the mixture in the cup to it, mix and remove from heat."", ""Grill the dango slightly and add the sauce to taste."", ""YUM! Anime-licous!"")"
293025,304464,Wasabi Salmon,377070,Debi9400,PT10M,PT10M,PT20M,2008-05-21T17:25:00Z,Make and share this Wasabi Salmon recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/44/64/picbLcEVi.jpg""",Japanese,"c(""Asian"", ""< 30 Mins"", ""Easy"")","c(""2"", ""1 1/2 - 2"", ""4"", ""1/4"")","('soy sauce', 'wasabi paste', 'salmon fillets', 'mayonnaise')",4.0,3.0,431.6,15.9,2.5,169.2,820.2,4.0,0.1,1.1,64.5,4.0,,"c(""Preheat broiler or grill."", ""Combine soy sauce and 1/2 tsp wasabi paste; mix well.  Spoon mixture over salmon with skin side down.  Place salmon, skin side down, on grill over medium heat or rack of broiler pan."", ""Grill or broil 4 to 5 inhces from heat source for about 8 minutes.  Salmon should be flakey."", ""Meanwhile, combine mayonnaise and remaining 1 tsp of wasabil paste & mix well.  Taste and add more wasabi if desired.  Transfer salmon to serving plates and top with mayonnaise mixture."")"
293108,304553,Won Ton Soup,742802,Heirloom,PT10M,PT45M,PT55M,2008-05-22T14:43:00Z,"This isn't really a soup, strictly speaking. It's more like delicious dumplings with a spoonful or two of broth ladled over them. Perfection!","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/45/53/picjZWsWU.jpg""",Chinese,"c(""Asian"", ""< 60 Mins"")","c(""1"", ""2"", ""1"", ""2"", ""1"", ""1"", ""1/4"", ""2"", ""1"", ""2"", ""1"", NA, ""2"", ""2"", ""1"", ""1"", ""1"", ""2"")","('ground pork', 'shrimp', 'egg', 'soy sauce', 'rice vinegar', 'green onions', 'celery rib', 'garlic cloves', 'gingerroot', 'wonton skins', 'beef broth', 'soy sauce', 'green onion', 'garlic clove', 'spinach')",5.0,8.0,255.8,18.8,6.6,97.4,1284.9,2.5,0.7,0.6,18.5,6.0,,"c(""For the Won Tons:"", ""Mix all Won Ton filling ingredients together in a medium bowl."", ""Spoon about a teaspoon of filling onto each Won Ton skin and, wetting the edges, fold in half to seal, or into whatever dumpling shape you prefer."", ""Repeat until all filling is used."", ""Heat 3 quarts lightly salted water to a boil in a large soup pot."", ""Boil Won Tons about 5-7 minutes, or until cooked through. Test by cutting one in half with a knife, if unsure, to ensure filling is cooked through."", ""For the Broth:"", 
""In a medium sauce pot heat broth, soy sauce, sesame oil, green onion and garlic to a boil."", ""Add spinach and cook until wilted."", ""In a shallow, pasta-style bowl place 4-5 dumplings and ladle spinach and broth over top."")"
293365,304819,L M Prawns,131674,mary winecoff,PT10M,PT10M,PT20M,2008-05-27T01:27:00Z,These are Lourenco Marques Prawns or Prawns Mozambique.  Prawns from the waters off Mozambique are famous for the large size and delicious flavor.  These are marinated in a peri-peri marinade and grilled.  Post for ZWT #4.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/48/19/picvYapLX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/48/19/picoOYlVz.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/48/19/picX6dCwY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/48/19/picIuP0NK.jpg"")",African,"""< 30 Mins""","c(""3"", ""1 -2"", ""1"", ""1"", ""1"", ""1/2"", ""10"")","('hot chili peppers', 'red pepper flakes', 'garlic clove', 'parsley', 'salt')",5.0,7.0,109.4,10.4,1.4,18.9,377.1,2.3,0.2,0.9,2.4,,,"c(""Mix all ingredients except prawns.  Pour half of mixture into another bowl to reserve for use as a sauce.  Marinate prawns with rest of mixture for at least a few hours or longer. (Be careful not to get hot pepper mixture in your eyes)."", ""Remove prawns and set aside.  Pour the used marinade into a pan and quickly bring to a boil on the stove."", ""Thread the prawns on skewers.  Cook over hot grill, turning once and basting with the cooked marinade until pink and done,."", ""Serve immediately with the reserved sauce for dipping.""
)"
293640,305102,Algerian Classic Spiced Soup Herira,108846,Olha7397,PT2H,PT30M,PT2H30M,2008-05-27T23:12:00Z,"An inspired soup with a wide assortment of spices, seasonings, lamb or chicken and the unique chamira—a fermented potion that thickens the soup somewhat and adds characteristic flavor.",character(0),African,"c(""Low Cholesterol"", ""Healthy"", ""< 4 Hours"")","c(""4"", ""1/2"", ""2"", ""4"", ""2"", ""1"", ""2"", ""10"", ""6"", ""4"", ""1"", ""1/4"", ""1"", ""1/4"", ""1/4"", ""1/2"", ""1/2"", ""7"", ""1"", ""1/4"", ""2"", ""1/4"", NA)","('flour', 'water', 'white vinegar', 'boneless leg of lamb', 'chicken parts', 'onion', 'tomatoes', 'fresh coriander', 'flat leaf parsley', 'celery ribs', 'salt', 'black pepper', 'caraway seed', 'ground cinnamon', 'red chili powder', 'saffron', 'turmeric', 'water', 'dried garbanzo beans', 'brown lentils', 'tomato paste', 'rice', 'lemon wedge')",,,449.7,23.5,8.9,78.2,417.6,31.1,7.7,5.1,28.4,8.0,,"c(""PREPARE THE CHAMIRA:  Mix the flour and vinegar together:  Cover the bowl and let stand in a warm place in the kitchen overnight or longer to ferment.  Add to the soup toward the end of the cooking process."", ""PREPARE THE SOUP:  Pout the oil, lamb and onion in a large pan and stir fry over low heat for 5 minutes to change the color."", ""Add  the tomatoes, coriander, parsley, celery, salt, pepper, ½ teaspoon caraway, cinnamon, chili powder, saffron and anise and mix well.  Add the water and bring to a boil.  Add the chick peas and lentils and cover the pan.  Simmer over low heat for 1 ½ hours."", 
""Add the tomato paste, rice and chamira and stir frequently for 15 minutes so that the chamira does not stick to the pan.  Add the balance of the caraway (1/2 teaspoon) and remove the soup from the heat."", ""Serve warm with lemon wedges and squeeze as much juice into the soup as desired."", ""Serves 8 as a first course."", ""The Great Book of Couscous."")"
293755,305219,Mozambican Peri-Peri Prawns,200862,Zurie,PT10M,PT25M,PT35M,2008-05-28T00:20:00Z,"POSTED FOR ZWT 4: Getting the REAL peri-peri oil recipe is a pain in the backside, and you never really find it. This is the nearest to the real thing, I think, but I don't take responsibility!! You won't have peri-peri peppers, so any hot red peppers, fresh or dried, will do. Ready-made Peri-peri oil can be bought where I am. The longer you can steep this oil, the better! The Moz prawns (shrimps) are large and straight from the ocean, and are only slit through the back shell and the vein removed. Then they're butterflied, brushed well with the oil, and fried or grilled just until they curl up and turn pink. There are other similar recipes. Mozambique prawns are really the only prawns to use! I HAD to guess the weight of the prawns -- use as many as you think you have peri-peri for.",character(0),African,"c(""Very Low Carbs"", ""High Protein"", ""High In..."", ""< 60 Mins"")","c(""3 -4"", ""1 1/2"", ""2"", ""2"", ""1"", ""4 -12"", ""1"")","('shrimp', 'lemon juice', 'garlic', 'salt', 'paprika')",5.0,8.0,1460.6,117.0,17.8,691.2,1450.1,7.7,0.6,0.7,92.9,,,"c(""Wash the prawns/shrimps and pat dry. Cut open the backs and remove the dark vein. Kitchen scissors work best. Do not remove the shells. Then cut down gently and slightly butterfly the prawns."", ""The oil: start the day before, which is best. (Even the week before!)"", ""You may need to remove seeds from the dried peppers, and then chop them up. Regulate the heat by using more or less!"", ""Heat the oil gently, do not boil. Use groundnut or sunflower oil, not olive."", ""Add all the other ingredients except the prawns. Don't boil. Take off heat, cool, and save in a clean bottle."", 
""Steep as long as you have time. The oil should colour to a pleasant reddish colour."", ""To cook, either put the prepared prawns in a large bowl, add the oil, stir well, and let marinade for 30 minutes up to 3 hours, in the fridge."", ""Bake or grill in a hot oven -- 350 deg F/180 deg C, or use your oven grill. Do NOT overcook: they turn pink when done."", ""Scoop up with a slotted spoon so the oil drips off, and you can also briefly drain them on scrunched-up kitchen paper."", ""Serve in a heap on a hot platter -- with plenty of wet cloths for hands and dipping bowls for fingers!  Usually served with rice and some kind of fresh bread. This is not a dish for dainty eating. Use your hands."", 
""Immensely popular in Maputo, where most of us will find out way to the famous old Costa do Sol restaurant on the sea, a few kilometres up north from Maputo, and order peri-peri prawns  --  !"")"
293961,305429,Wasabi Seared Tuna Salad,335614,EmmyDuckie,PT10M,PT10M,PT20M,2008-05-28T02:12:00Z,"I love a nice big dinner salad, and this one is great when you feel like something reminiscent of sushi.","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/54/29/picEjrz5Z.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/54/29/picH7WH0S.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/54/29/picr4kdHs.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/54/29/picv4xEXu.jpg"")",Japanese,"c(""Asian"", ""< 30 Mins"")","c(""8"", ""1"", ""2"", ""1"", ""1"", ""1/2"", ""2"", ""1"", NA)","('tuna steaks', 'wasabi powder', 'soy sauce', 'avocado', 'daikon radish', 'pickled ginger')",5.0,6.0,460.5,34.0,5.3,43.1,574.2,11.1,7.7,1.4,30.4,2.0,,"c(""Mix wasabi powder with just enough soy sauce to make a thick paste."", ""Rub wasabi paste onto both sides of tuna steaks."", ""Heat 1 tbsp oil in a nonstick skillet over med-high heat."", ""Sear tuna for about 30-45 seconds on each side, just enough to get a crust."", ""Slice tuna thin, and set aside."", ""Arrange salad greens on a plate, and top with tuna, avocado, ginger, and daikon."", ""Mix remaining soy sauce, oil, rice vinegar, and a little of the juice from the ginger if you have some, drizzle onto salads, and salt and pepper to taste."", 
""This goes great with Miso soup and a little sticky rice."")"
293981,305449,Thai Green Curry Shrimp Soup,501253,Ed Kozak,PT1H,PT5M,PT1H5M,2008-05-28T16:07:00Z,This is a great soup that you can make a meal out of itself.  Just serve the soup over a mound of cooked jasmine rice.,character(0),Thai,"c(""Asian"", ""< 4 Hours"", ""Easy"")","c(""12"", ""2"", ""4"", ""1/2"", ""1/2"", ""1"", ""2"", ""1"", ""1"")","('large shrimp', 'green curry paste', 'carrot', 'green beans', 'Chinese cabbage', 'tamarind paste', 'brown sugar', 'palm sugar', 'fish sauce')",4.0,1.0,140.2,1.9,0.3,135.7,603.6,10.9,2.0,6.7,20.2,4.0,,"c(""In a large saucepan, simmer shrimp in enough water to cover, until cooked or orange-pink in color, about 1-2 minutes."", ""Cool shrimp in the stock and then peel."", ""Reserve 4 cups of the stock.  Set Aside."", ""Heat the reserved 4 cups of stock in a saucepan over high heat."", ""Stir in the green curry paste."", ""Add the mushrooms, carrot, green beans, and cabbage."", ""Bring to a boil then reduce heat and simmer until vegetables are just tender."", ""Stir in tamarind paste, sugar, and fish sauce."", ""Place some shrimp in a bowl and ladle in the soup.""
)"
294258,305733,Thai Coconut Ratatouille,337668,Mulligan,PT20M,PT20M,PT40M,2008-05-28T23:54:00Z,"Similar to the usual blend of vegetables of Provence, that's where the similarity ends.  Banana, ginger, lemongrass and cilantro take it far East.  This is a recipe I found in the &quot;All Around the World Cookbook.&quot;","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/57/33/picBp93Ef.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/57/33/picNWFAa4.jpg"")",Thai,"c(""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 60 Mins"")","c(""12"", ""2"", ""1 1/2"", ""4"", ""8"", ""1"", ""2"", ""2"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1/4"", ""6"")","('eggplants', 'coarse salt', 'chicken broth', 'green beans', 'green cabbage', 'onion', 'ginger', 'garlic', 'lemongrass', 'cilantro', 'bananas', 'plum tomato', 'coconut milk', 'cilantro', 'cooked rice')",3.5,2.0,332.8,7.5,6.1,0.0,752.8,60.8,5.5,10.5,7.3,8.0,8 bowls,"c(""Sprinkle the eggplants with 1 tsp of the salt and let stand for 15 minutes.  Rinse and pat dry."", ""Heat the chicken broth in a large pot over medium heat.  Add the eggplants and cook for 5 minutes.  Add the green beans, cabbage, onion, ginger, garlic, lemongrass, cilantro, and remaining 1 tsp salt.  Cook covered over medium heat for 10 minutes."", ""Stir in the banana, tomatoes and coconut milk.  Simmer uncovered 10 minutes longer.  Remove from heat and stir in the cilantro leaves."", ""Divide the rice between 8 shallow soup bowls.  Ladle the vegetables atop the rice.  Serve immediately.""
)"
294378,305856,Banana and Coconut Beef Stew,62562,Alskann,PT20M,PT20M,PT40M,2008-05-29T01:42:00Z,Make and share this Banana and Coconut Beef Stew recipe from Food.com.,character(0),African,"""< 60 Mins""","c(""2"", ""5"", ""2"", ""1"", ""2"", ""1"", ""2"", ""1/2"", ""6"", NA)","('lean beef', 'green bananas', 'onions', 'tomatoes', 'coconut milk', 'water', 'peas', 'snow peas')",,,604.5,31.9,19.8,89.2,151.6,44.9,8.6,24.4,38.7,,,"c(""Peel the bananas and cut into 1 to 1 ½ inch pieces."", ""Dice the beef into approximately ½ inch pieces."", ""Place the meat in a saucepan, cover with water, add salt."", ""Bring to boil and simmer until tender."", ""Heat the oil in a saucepan and sauté the onions until translucent but not browned."", ""Add the tomato and the meat mixture."", ""Adjust the seasoning to taste."", ""Continue cooking until the tomatoes soften."", ""Add the coconut milk, stirring continuously and bring the mixture to a boil. Add the banana pieces and snow peas."", 
""Reduce the heat and simmer for approximately 10-15 minutes, or until the bananas are cooked, soft but not mushy."", ""Serve hot, over rice."")"
295516,307035,Grilled Salmon With North African Flavors,464080,januarybride,PT30M,PT15M,PT45M,2008-06-03T01:41:00Z,"Recipe found on www.eatingwell.com.  This is a version of the classic North African herb paste known as chermoula serves as both a marinade and a sauce for this richly flavored salmon. If it is too cool to grill outdoors, you can roast the salmon at 450 degrees F for 12 to 15 minutes.","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/70/35/picOyH6Gq.jpg""",African,"""< 60 Mins""","c(""1/4"", ""1/4"", ""1/4"", ""2"", ""1"", ""3"", ""1 1/2"", ""1"", ""1/4"", ""1/8"", ""1"", ""1"")","('nonfat plain yogurt', 'fresh parsley', 'fresh cilantro', 'lemon juice', 'extra virgin olive oil', 'garlic cloves', 'paprika', 'ground cumin', 'salt', 'ground pepper', 'salmon fillet', 'lemon')",5.0,2.0,186.9,7.7,1.2,59.4,238.4,6.5,1.9,1.5,24.4,4.0,,"c(""Stir together yogurt, parsley, cilantro, lemon juice, oil, garlic, paprika, cumin, salt and pepper in a small bowl. Reserve 1/4 cup for sauce; cover and refrigerate for use atop fish after cooked."", ""Place salmon fillets in a large sealable plastic bag. Pour in the remaining herb mixture, seal the bag and turn to coat. Refrigerate for 20 to 30 minutes, turning the bag over once."", ""Meanwhile, preheat grill to medium-high. Oil the grill rack by placing oil a folded paper towel, hold it with tongs and rub it over the rack."", 
""Remove the salmon from the marinade, blotting any excess. Grill the salmon until browned and opaque in the center, 4 to 6 minutes per side."", ""To serve, top each piece with a dollop of the reserved sauce and garnish with lemon wedges."")"
295586,307106,Cold Noodle Salad With Spicy Peanut Sauce,414666,breezee1984,PT40M,PT15M,PT55M,2008-06-03T15:35:00Z,"A hint of sesame oil compliments the flavor of the peanut butter in this satisfying salad that makes a great make ahead meal. A lot of different Thai recipes call for peanuts, this ones a bit different with using peanut BUTTER instead.",character(0),Thai,"c(""Asian"", ""Vegan"", ""< 60 Mins"", ""Inexpensive"")","c(""1/2"", ""1"", ""2"", ""1/4"", ""2"", ""1"", ""1/2"", ""12"", ""1"", ""1"", ""1"", ""3"")","('creamy peanut butter', 'tamari', 'cayenne', 'garlic cloves', 'ginger', 'water', 'linguine', 'carrot', 'red bell pepper', 'scallions')",4.5,2.0,561.3,21.1,4.1,0.0,417.6,75.4,6.1,6.8,20.5,4.0,,"c(""In medium bowl, combine peanut butter, tamari, vinegar, cayenne, garlic and ginger, stirring to blend well.  Stir in water to make a thick sauce.  Set aside."", ""Cook linguine in a large pot of boiling water until al dente about 10 minutes."", ""Drain and rinse pasta under cold water, transfer to large bowl."", ""Toss with sesame oil to coat."", ""Add carrot, bell pepper, and scallions to the bowl with the linguine."", ""Add reserved peanut sauce to coat, tossing gently to combine."", ""Refrigerate for 30 minutes.""
)"
295780,307304,Fried Mandazi,852475,Boarding School Chef,PT15M,PT5M,PT20M,2008-06-04T22:54:00Z,Make and share this Fried Mandazi recipe from Food.com.,character(0),African,"c(""< 30 Mins"", ""For Large Groups"", ""Easy"", ""Inexpensive"")","c(""4"", ""1 1/2"", ""1 1/2"", ""2"", ""3 -4"")","('self-rising flour', 'sugar', 'water')",,,255.2,22.3,2.9,0.0,211.9,12.6,0.5,0.2,1.6,,30-50 Mandazi,"c(""Mix the flour, sugar and water together until an even dough."", ""Add the 2 teaspoons of oil into the dough and continue mixing."", ""Meanwhile, put the 3-4 cups of oil into a pan/pot on the stove and set on high."", ""Beat the dough until soft yet firm."", ""If the dough is still not yet as tough, add another half a cup of self rising flour and knead the dough."", ""Once completely mixed and firm, flatten the dough with a rolling pin (dough should be about 1/8th of an inch thick)."", ""Cut the dough into shapes (I like to make hearts and circles, as well as triangles and squares)."", 
""Carefully lay the cut out dough shapes into the pan and wait for the edges to brown. When they reach a medium brown, flip the dough and cook the other side."", ""When the mandazi has finished cooking, lift out of the pan and keep in a covered pot."")"
296097,307626,Broiled Orange Roughy,20480,Sageca,PT20M,PT5M,PT25M,2008-06-05T02:43:00Z,"I heard the best way to prepare orange roughy is to  broil it.I have been doing it this way and it comes out perfect.
Serve with a green vegetable and some roasted potatoes.","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/76/26/pic6EYh0R.jpg""",African,"c(""< 30 Mins"", ""Easy"")","c(""2"", ""2"", NA, ""1/4"", ""1/4"", ""1/4"", ""1/4"")","('olive oil', 'Tabasco sauce', 'oregano', 'cayenne', 'thyme')",5.0,4.0,238.2,14.8,2.0,51.0,160.4,9.9,0.7,0.9,15.8,2.0,2 filet,"c(""Stir oil and a bit of Tabasco together set aside."", ""Mix together bread crumbs with herbs set aside."", ""Brush olive oil mixture on filets."", ""Roll in breadcrumbs mixture."", ""Broil 4-5 inches from the heat for 10 minutes."", ""Flip it on the other side and broil another 4-10 minutes until fish flakes easily with a fork."", ""The broiling time depends on the thickness of the filet."")"
296982,308537,Thai-Style Beef Salad,826533,Chef LL,PT40M,PT10M,PT50M,2008-06-10T02:45:00Z,Make and share this Thai-Style Beef Salad recipe from Food.com.,character(0),Thai,"c(""Asian"", ""< 60 Mins"")","c(""1"", ""3/4"", NA, ""2"", ""1/4"", ""1/8"", ""1"", ""1 1/2"", ""1"", ""1"", ""1/4"", ""1"", ""1"", ""1/3"", ""1/2"", ""1/2"")","('beef tenderloin', 'shallots', 'roasted peanuts', 'mint leaf', 'cilantro leaf', 'romaine lettuce hearts', 'red pepper flakes', 'garlic clove', 'salt', 'lime, zest of', 'brown sugar', 'lime juice', 'Thai fish sauce', 'soy sauce')",,,816.4,52.3,16.0,146.2,865.3,36.0,12.5,14.2,56.5,2.0,2 salads,"c(""rub oil all over beef and lightly season it with salt and pepper. let it rest at room temperature for 15 minutes, covered with plastic wrap."", ""heat a heavy skillet or grill pan. sear beef over high heat until the outside is a dark brown, then remove from pan and let rest at room temperature for 15 minutes."", ""meanwhile, for the dressing, grind red pepper flakes, garlic, salt, lime zest, and brown sugar in a mortar, until it is a paste. add lime juice, fish sauce and soy sauce; mix thoroughly."", 
""slice beef thinly against the grain and place the slices in a bowl with the shallots, half of the peanuts, and most of the mint and cilantro leaves. pour all of the dressing over the beef mixture and gently toss together."", ""to serve, divide lettuce leaves between 2 plates and then place beef salad on top. scatter remaining peanuts and herbs on top."")"
